,userid,tweetid,text,hashtags
363490,778401398643843074,1500850769318318084,Stop senseless loss of lives. #StopWarInUkraine #StopPutin #StopPutinNOW https://t.co/58GlNtVKnp,"[{'text': 'StopWarInUkraine', 'indices': [30, 47]}, {'text': 'StopPutin', 'indices': [48, 58]}, {'text': 'StopPutinNOW', 'indices': [59, 72]}]"
99850,77696645,1500687509126512641,"#Netflix and #TikTok #suspended most of their services in #Russia on Sunday as the government cracks down on what people and media outlets can say about Russia's #war in #Ukraine.
https://t.co/DMFUbPhIvU","[{'text': 'Netflix', 'indices': [0, 8]}, {'text': 'TikTok', 'indices': [13, 20]}, {'text': 'suspended', 'indices': [21, 31]}, {'text': 'Russia', 'indices': [58, 65]}, {'text': 'war', 'indices': [162, 166]}, {'text': 'Ukraine', 'indices': [170, 178]}]"
202474,1199031559,1500753918321733636,"@KirilPetkov @DragomirZakov @GovBulgaria @MFABulgaria @jensstoltenberg @NATO Bulgarian citizens demand that Bulgaria should donate all it's working MiG-29 jets to Ukraine.

#StopTheWar #StopPutin #Ukraine #WarInUkraine #NoFlyZoneUkraine #GloryToUkraine #SlavaUkraini","[{'text': 'StopTheWar', 'indices': [173, 184]}, {'text': 'StopPutin', 'indices': [185, 195]}, {'text': 'Ukraine', 'indices': [196, 204]}, {'text': 'WarInUkraine', 'indices': [205, 218]}, {'text': 'NoFlyZoneUkraine', 'indices': [219, 236]}, {'text': 'GloryToUkraine', 'indices': [237, 252]}, {'text': 'SlavaUkraini', 'indices': [253, 266]}]"
28515,4365554834,1500639779704086530,Reporting ✍️..#RussiaUkraineWar https://t.co/9btNlgbMr7,"[{'text': 'RussiaUkraineWar', 'indices': [14, 31]}]"
295638,385684671,1500809741144305674,"@damian_from It's extremely important that people are made aware of first hand accounts of events in #Ukraine, like this:
https://t.co/kISx6MeW7c","[{'text': 'Ukraine', 'indices': [121, 129]}]"
225701,149141631,1500767384394780672,"If the war takes place in the west, 
the event is a drama
and the deads are a matter of Humanity.
in Islamic lands
event is number
the deads
are only a matter of statistics.

The #Ukraine-#Russia war has clearly shown us the disgusting double standards and hypocrisy of the #West! https://t.co/Q8ufO5n2Rj","[{'text': 'Ukraine', 'indices': [179, 187]}, {'text': 'Russia', 'indices': [188, 195]}, {'text': 'West', 'indices': [274, 279]}]"
302466,1498302817026863104,1500813191374585856,"Now,Is this cool Or Is this cool 😂
#russianinvasion #RussianArmy #UkraineRussianWar #Putin https://t.co/39r5ZQqzBO","[{'text': 'russianinvasion', 'indices': [35, 51]}, {'text': 'RussianArmy', 'indices': [52, 64]}, {'text': 'UkraineRussianWar', 'indices': [65, 83]}, {'text': 'Putin', 'indices': [84, 90]}]"
172451,61330854,1500734976752508928,"#GO_Ukraine 🇺🇦
#GazetaOriental 
#UkraineInvasion
#UkraineRussiaWar

War of Ukraine 2022

07.03.2022 07.25 https://t.co/bBKKhngKm9","[{'text': 'GO_Ukraine', 'indices': [0, 11]}, {'text': 'GazetaOriental', 'indices': [15, 30]}, {'text': 'UkraineInvasion', 'indices': [32, 48]}, {'text': 'UkraineRussiaWar', 'indices': [49, 66]}]"
140807,456401339,1500715614410883072,"Who funded and organized this, and what entity is funding that organization? Yall ain't slick.😩#ukraine https://t.co/6yXWQK7cEq","[{'text': 'ukraine', 'indices': [95, 103]}]"
343102,1500752263819706368,1500837581621243911,@NATO Close the sky over #Ukraine and provide Ukraine with aircraft. Or you also want us to be killed?!,"[{'text': 'Ukraine', 'indices': [25, 33]}]"
447756,724357957778046976,1500900525054771202,"🖐🖐🇪🇺👉 Welcome to the #EuropeanUnion 🇲🇩🇬🇪🇺🇦 #StopPutinNOW
#StopWar
#UcraniaBajoAtaque
#PutinWarCrimes
#EU 
https://t.co/fABs3o1ByC","[{'text': 'EuropeanUnion', 'indices': [21, 35]}, {'text': 'StopPutinNOW', 'indices': [43, 56]}, {'text': 'StopWar', 'indices': [57, 65]}, {'text': 'UcraniaBajoAtaque', 'indices': [66, 84]}, {'text': 'PutinWarCrimes', 'indices': [85, 100]}, {'text': 'EU', 'indices': [101, 104]}]"
480434,1468891590697619457,1500920699099222017,"“#Tigray wants, first &amp; foremost, an immediate end to the siege” 

IC cannot keep watching millions be starved in #Tigray. Take action to #EndTigraySiege!

@USAmbUN @PowerUSAID @BWoodward_UN @irishmissionun @franceonu @SenateForeign @HouseForeignGOP
https://t.co/uI43pjFeZp","[{'text': 'Tigray', 'indices': [15, 22]}, {'text': 'Tigray', 'indices': [132, 139]}]"
152493,710603883832152064,1500722748988944388,"Wow, is all I can say. Can anyone tell me what take is this? Lol...#news #media #lies #war #Urkaine #Russia https://t.co/BJqH1ES2kn","[{'text': 'news', 'indices': [67, 72]}, {'text': 'media', 'indices': [73, 79]}, {'text': 'lies', 'indices': [80, 85]}, {'text': 'war', 'indices': [86, 90]}, {'text': 'Urkaine', 'indices': [91, 99]}, {'text': 'Russia', 'indices': [100, 107]}]"
376047,1434079489458376709,1500857713768677380,@adilkhan_aadi @Twitter @instagram @Meta @YouTube @Snapchat @NetflixFilm @Viber @AppleTV Everyone takes a stand on #Russian aggression' except #NATO,"[{'text': 'Russian', 'indices': [115, 123]}, {'text': 'NATO', 'indices': [143, 148]}]"
126904,48691267,1500705679870332928,"@TaxReformExpert Under Joe Biden, #USA has been turning to #Hell  #worldwar3 #WorldWarIII #WW3 #WWIII #UkraineRussianWar  https://t.co/XO21rhzGmc 
if Biden is the president, things will get terrible. They will lose the trust of the international community. 
Let's get the #Trump back - #God-chosen","[{'text': 'USA', 'indices': [34, 38]}, {'text': 'Hell', 'indices': [59, 64]}, {'text': 'worldwar3', 'indices': [66, 76]}, {'text': 'WorldWarIII', 'indices': [77, 89]}, {'text': 'WW3', 'indices': [90, 94]}, {'text': 'WWIII', 'indices': [95, 101]}, {'text': 'UkraineRussianWar', 'indices': [102, 120]}, {'text': 'Trump', 'indices': [272, 278]}, {'text': 'God', 'indices': [286, 290]}]"
444566,1244852472037937153,1500898432147468296,#Breaking: The liquidity troubles in U.S. #Treasuries caused by the strains tied to #Russia’s invasion of #Ukraine https://t.co/UdiSIBqXKd,"[{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'Treasuries', 'indices': [42, 53]}, {'text': 'Russia', 'indices': [84, 91]}, {'text': 'Ukraine', 'indices': [106, 114]}]"
419233,1316031520897937408,1500883167095390209,"Here is a summary of the greatest evil.

#Россия #RussiaUkraine 
#RussiaInvadesUkraine #RussaiUkraineKonfilct #Ukrainian  #Ukraine   #Putin #BidensWar #Russians #RussianArmy 
@AJBalkans

 #Russia https://t.co/W8SN6HRKhu","[{'text': 'Россия', 'indices': [41, 48]}, {'text': 'RussiaUkraine', 'indices': [49, 63]}, {'text': 'RussiaInvadesUkraine', 'indices': [65, 86]}, {'text': 'RussaiUkraineKonfilct', 'indices': [87, 109]}, {'text': 'Ukrainian', 'indices': [110, 120]}, {'text': 'Ukraine', 'indices': [122, 130]}, {'text': 'Putin', 'indices': [133, 139]}, {'text': 'BidensWar', 'indices': [140, 150]}, {'text': 'Russians', 'indices': [151, 160]}, {'text': 'RussianArmy', 'indices': [161, 173]}, {'text': 'Russia', 'indices': [188, 195]}]"
252395,442437582,1500784188819181571,@BBCNews Putin’s money has bought the @conservatives and undermined all our institutions. This looks like money well spent given the toothless UK sanctions. This is corruption playing out in real time. #RussianUkrainianWar #ToryRussiaMoney #ToryRussianMoney #johnsonrussianasset https://t.co/bzVh3tRPFx,"[{'text': 'RussianUkrainianWar', 'indices': [202, 222]}, {'text': 'ToryRussiaMoney', 'indices': [223, 239]}, {'text': 'ToryRussianMoney', 'indices': [240, 257]}, {'text': 'johnsonrussianasset', 'indices': [258, 278]}]"
471599,2252300232,1500914218496933893,#Russia has only one kind of future:  #FutureWithoutPutin https://t.co/X0YdJfmaup,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'FutureWithoutPutin', 'indices': [38, 57]}]"
50340,1140345532923240449,1500654048948760578,"@NATO @UN ""Who is silent against oppression is a mute devil."" #StandWithUkraine #СлаваУкраїні","[{'text': 'StandWithUkraine', 'indices': [62, 79]}, {'text': 'СлаваУкраїні', 'indices': [80, 93]}]"
558696,32734867,1500977779684540418,The #Russian intervention in #Ukraine NOW  was the only way actually to avert the GREATER likelihood of WW3 with Ukr in #NATO and here is why @RNBreakfast  It is so simple https://t.co/AvmzT9dSXW,"[{'text': 'Russian', 'indices': [4, 12]}, {'text': 'Ukraine', 'indices': [29, 37]}, {'text': 'NATO', 'indices': [120, 125]}]"
565313,1131854274223366144,1500982362628403202,"Ok, this is getting interesting!
I would like to see some traffic capture files!
#UkraineRussiaWar #CyberSecurity #infosec #ThreatIntel #Ukraine #RussianUkrainianWar #Russian #hacking #exploit #Ransomware #hackers #Anonymous 
@jonathandata1 @dorkingbeauty1 @ADanielHill https://t.co/dApbLvIewD","[{'text': 'UkraineRussiaWar', 'indices': [98, 115]}, {'text': 'CyberSecurity', 'indices': [116, 130]}, {'text': 'infosec', 'indices': [131, 139]}]"
176706,62047622,1500737441199804419,"#UkraineRussianWar More honesty, less grandstanding can prevent Ukraine war from ballooning into a world war https://t.co/B5yF1p6Scb via @ThePrintIndia","[{'text': 'UkraineRussianWar', 'indices': [17, 35]}]"
422119,1081172278459666433,1500885346699071491,That brand new Russian law threatening anyone who dares 'discredit the use of the armed forces' is already in full swing. Respected lawyer @pchikov knows of at least 60 cases open after yesterday's protests against the [special operation]. #Russia #Ukraine https://t.co/TOPnX1PmmH,"[{'text': 'Russia', 'indices': [240, 247]}, {'text': 'Ukraine', 'indices': [248, 256]}]"
174494,853214807826325508,1500736679149199362,"What’s up in twitter for a specific place? Click any place name and open twitter’s live hash page.
⚠️ Results may contain violent content. 😱 

#ChronoscopeWorld 🗺️ https://t.co/1qLdfyhKD7

#ChronoNow #ChronoNews #nowwar #fuckwar #UkraineRussianWar #StandWithUkraine https://t.co/hFOqWeboyv","[{'text': 'ChronoscopeWorld', 'indices': [143, 160]}, {'text': 'ChronoNow', 'indices': [189, 199]}, {'text': 'ChronoNews', 'indices': [200, 211]}, {'text': 'nowwar', 'indices': [212, 219]}, {'text': 'fuckwar', 'indices': [220, 228]}, {'text': 'UkraineRussianWar', 'indices': [229, 247]}, {'text': 'StandWithUkraine', 'indices': [248, 265]}]"
30776,940068667462598657,1500640669261766660,"#istandwithrussia
#IStandWithPutin 
#iSupportRussia 

They always wanted to destroy Russia and they are doing it now.. https://t.co/Ag1l0vXA6t","[{'text': 'istandwithrussia', 'indices': [21, 38]}, {'text': 'IStandWithPutin', 'indices': [39, 55]}, {'text': 'iSupportRussia', 'indices': [57, 72]}]"
197307,2264849412,1500750280157122560,"During a telephone call with Erdogan, #Putin told Ukraine's negotiators that they needed to be more ""constructive"" to consider the ground realities, reported Morning Post.","[{'text': 'Putin', 'indices': [38, 44]}]"
71506,1351616125226909701,1500669170802909187,"@HillaryClinton @maddow @Potus's ignored or made worse issues like #Ukraine;#Libya;#Yemen:#Syria;#Venezuela (#MIC,#security):#Cuba;#JCPOA;#homelessness;#studentdebt;#affordablehealthcare;#immigration;;#MSM &amp; you're the #DNC 's monstrous shill/owner.","[{'text': 'Ukraine', 'indices': [67, 75]}, {'text': 'Libya', 'indices': [76, 82]}, {'text': 'Yemen', 'indices': [83, 89]}, {'text': 'Syria', 'indices': [90, 96]}, {'text': 'Venezuela', 'indices': [97, 107]}, {'text': 'MIC', 'indices': [109, 113]}, {'text': 'security', 'indices': [114, 123]}, {'text': 'Cuba', 'indices': [125, 130]}, {'text': 'JCPOA', 'indices': [131, 137]}, {'text': 'homelessness', 'indices': [138, 151]}, {'text': 'studentdebt', 'indices': [152, 164]}, {'text': 'affordablehealthcare', 'indices': [165, 186]}, {'text': 'immigration', 'indices': [187, 199]}, {'text': 'MSM', 'indices': [201, 205]}, {'text': 'DNC', 'indices': [223, 227]}]"
316896,1323415089031110658,1500822031004319744,"🔴 Kremlin says Russia will finish demilitarization of Ukraine

News #Ukraine #Russia https://t.co/OezEnq3eRc","[{'text': 'Ukraine', 'indices': [68, 76]}, {'text': 'Russia', 'indices': [77, 84]}]"
204353,15991175,1500754425652121602,"*ROTFL* @DuffelBlog! 😂🤣 #StandWithUkraine 🌻

https://t.co/OtWPUvQxwo

""Elon Musk, DARPA design military-grade jockstrap for Ukrainian president’s balls"" https://t.co/4Kgw80L7HK","[{'text': 'StandWithUkraine', 'indices': [24, 41]}]"
